id,label,sessions,drives,total_sessions,n_days_after_onboarding,total_navigations_fav1,total_navigations_fav2,driven_km_drives,duration_minutes_drives,activity_days,driving_days,device,churned,sessions_per_activity_day,drives_per_driving_day,km_per_drive,minutes_per_drive,fav_navigation_total,activity_rate,driving_rate,tenure_group,activity_group
0,retained,283,226,296.7482729,2276,208,0,2628.845068,1985.775061,28,19,Android,0.0,10.107142857142858,11.894736842105264,11.63205782300885,8.786615314159292,208,0.012302284710017574,0.008347978910369069,late_mid_tenure,highest_activity
1,retained,133,107,326.8965962,1225,19,64,13715.92055,3160.472914,13,11,iPhone,0.0,10.23076923076923,9.727272727272727,128.186173364486,29.53713003738318,83,0.010612244897959184,0.008979591836734694,early_mid_tenure,low_mid_activity
2,retained,114,95,135.5229263,2651,0,0,3059.148818,1610.735904,14,8,Android,0.0,8.142857142857142,11.875,32.20156650526316,16.95511477894737,0,0.005281026027913994,0.003017729158807997,longest_tenure,low_mid_activity
3,retained,49,40,67.58922127,15,322,7,913.5911231,587.1965423,7,3,iPhone,0.0,7.0,13.333333333333334,22.8397780775,14.6799135575,329,0.4666666666666667,0.2,newest_users,lowest_activity
4,retained,84,68,168.2470201,1562,166,5,3950.202008,1219.555924,27,18,Android,0.0,3.111111111111111,3.7777777777777777,58.091206,17.93464594117647,171,0.017285531370038413,0.011523687580025609,early_mid_tenure,highest_activity
5,retained,113,103,279.5444373,2637,0,0,901.2386985,439.1013973,15,11,iPhone,0.0,7.533333333333333,9.363636363636363,8.74989027669903,4.263120362135922,0,0.005688282138794084,0.004171406901782328,longest_tenure,low_mid_activity
6,retained,3,2,236.7253142,360,185,18,5249.172828,726.5772047,28,23,iPhone,0.0,0.10714285714285714,0.08695652173913043,2624.586414,363.28860235,203,0.07777777777777778,0.06388888888888888,newest_users,highest_activity
7,retained,39,35,176.0728446,2999,0,0,7892.052468,2466.981741,22,20,iPhone,0.0,1.7727272727272727,1.75,225.48721337142857,70.4851926,0,0.007335778592864288,0.006668889629876626,longest_tenure,high_mid_activity
8,retained,57,46,183.5320177,424,0,26,2651.709764,1594.342984,25,20,Android,0.0,2.28,2.3,57.64586443478261,34.65963008695652,26,0.0589622641509434,0.04716981132075472,newest_users,highest_activity
9,churned,84,68,244.8021148,2997,72,0,6043.460295,2341.838528,7,3,iPhone,1.0,12.0,22.666666666666668,88.87441610294117,34.43880188235295,72,0.002335669002335669,0.001001001001001001,longest_tenure,lowest_activity
10,retained,23,20,117.2257719,1946,0,36,8554.91444,5352.56772,9,9,iPhone,0.0,2.5555555555555554,2.2222222222222223,427.745722,267.628386,36,0.0046248715313463515,0.0046248715313463515,late_mid_tenure,low_mid_activity
11,retained,125,100,357.1790311,487,3,7,2284.819767,1034.651333,1,1,iPhone,0.0,125.0,100.0,22.84819767,10.34651333,10,0.002053388090349076,0.002053388090349076,newest_users,lowest_activity
12,retained,51,41,109.8818549,2760,64,0,2512.308716,1717.268618,12,12,iPhone,0.0,4.25,3.4166666666666665,61.27582234146342,41.88460043902439,64,0.004347826086956522,0.004347826086956522,longest_tenure,low_mid_activity
13,retained,80,64,132.8305064,3154,39,16,8531.24807,6324.273457,1,0,Android,0.0,80.0,,133.30075109375,98.816772765625,55,0.0003170577045022194,0.0,longest_tenure,lowest_activity
14,churned,72,66,401.3518086,2524,54,24,5922.811202,2227.280393,0,0,Android,1.0,,,89.73956366666667,33.74667262121212,78,0.0,0.0,late_mid_tenure,lowest_activity
15,retained,23,22,95.2921595,50,193,0,2188.829771,1775.713499,11,10,iPhone,0.0,2.090909090909091,2.2,99.49226231818183,80.71424995454545,193,0.22,0.2,newest_users,low_mid_activity
16,retained,30,25,41.53837224,1554,61,19,1213.549279,949.1301246,17,13,Android,0.0,1.7647058823529411,1.9230769230769231,48.54197116,37.965204984,80,0.010939510939510939,0.008365508365508366,early_mid_tenure,high_mid_activity
17,churned,272,219,564.2714848,88,0,90,3529.33898,2078.426838,11,11,Android,1.0,24.727272727272727,19.90909090909091,16.11570310502283,9.490533506849314,90,0.125,0.125,newest_users,low_mid_activity
18,retained,48,38,259.0657534,2077,131,11,9140.608725,4922.692428,10,3,Android,0.0,4.8,12.666666666666666,240.54233486842105,129.54453757894737,142,0.004814636494944632,0.0014443909484833895,late_mid_tenure,low_mid_activity
