id,label,sessions,drives,total_sessions,n_days_after_onboarding,total_navigations_fav1,total_navigations_fav2,driven_km_drives,duration_minutes_drives,activity_days,driving_days,device,churned,sessions_per_activity_day,drives_per_driving_day,km_per_drive,minutes_per_drive,fav_navigation_total,activity_rate,driving_rate,tenure_group,activity_group,predicted_churn_probability,risk_group
0,retained,283,226,296.7482729,2276,208,0,2628.845068,1985.775061,28,19,Android,0.0,10.107142857142858,11.894736842105264,11.63205782300885,8.786615314159292,208,0.0123022847100175,0.008347978910369,late_mid_tenure,highest_activity,0.04721193383501172,Lowest Risk
1,retained,133,107,326.8965962,1225,19,64,13715.92055,3160.472914,13,11,iPhone,0.0,10.23076923076923,9.727272727272728,128.186173364486,29.53713003738318,83,0.0106122448979591,0.0089795918367346,early_mid_tenure,low_mid_activity,0.4178574207522474,Upper-Mid Risk
2,retained,114,95,135.5229263,2651,0,0,3059.148818,1610.735904,14,8,Android,0.0,8.142857142857142,11.875,32.20156650526316,16.95511477894737,0,0.0052810260279139,0.0030177291588079,longest_tenure,low_mid_activity,0.18584083244456465,Lower-Mid Risk
3,retained,49,40,67.58922127,15,322,7,913.5911231,587.1965423,7,3,iPhone,0.0,7.0,13.333333333333334,22.8397780775,14.6799135575,329,0.4666666666666667,0.2,newest_users,lowest_activity,0.5873432269834907,Highest Risk
4,retained,84,68,168.2470201,1562,166,5,3950.202008,1219.555924,27,18,Android,0.0,3.111111111111111,3.7777777777777777,58.091206,17.93464594117647,171,0.0172855313700384,0.0115236875800256,early_mid_tenure,highest_activity,0.027506647502855048,Lowest Risk
5,retained,113,103,279.5444373,2637,0,0,901.2386985,439.1013973,15,11,iPhone,0.0,7.533333333333333,9.363636363636363,8.74989027669903,4.263120362135922,0,0.005688282138794,0.0041714069017823,longest_tenure,low_mid_activity,0.3024524674376448,Upper-Mid Risk
6,retained,3,2,236.7253142,360,185,18,5249.172828,726.5772047,28,23,iPhone,0.0,0.1071428571428571,0.0869565217391304,2624.586414,363.28860235,203,0.0777777777777777,0.0638888888888888,newest_users,highest_activity,0.24310247548826255,Lower-Mid Risk
7,retained,39,35,176.0728446,2999,0,0,7892.052468,2466.981741,22,20,iPhone,0.0,1.7727272727272727,1.75,225.48721337142857,70.4851926,0,0.0073357785928642,0.0066688896298766,longest_tenure,high_mid_activity,0.15731363141909013,Lower-Mid Risk
8,retained,57,46,183.5320177,424,0,26,2651.709764,1594.342984,25,20,Android,0.0,2.28,2.3,57.64586443478261,34.65963008695652,26,0.0589622641509434,0.0471698113207547,newest_users,highest_activity,0.17519060872327322,Lower-Mid Risk
9,churned,84,68,244.8021148,2997,72,0,6043.460295,2341.838528,7,3,iPhone,1.0,12.0,22.666666666666668,88.87441610294117,34.43880188235295,72,0.0023356690023356,0.001001001001001,longest_tenure,lowest_activity,0.5498163167437786,Highest Risk
10,retained,23,20,117.2257719,1946,0,36,8554.91444,5352.56772,9,9,iPhone,0.0,2.555555555555556,2.2222222222222223,427.745722,267.628386,36,0.0046248715313463,0.0046248715313463,late_mid_tenure,low_mid_activity,0.35812974416156457,Upper-Mid Risk
11,retained,125,100,357.1790311,487,3,7,2284.819767,1034.651333,1,1,iPhone,0.0,125.0,100.0,22.84819767,10.34651333,10,0.002053388090349,0.002053388090349,newest_users,lowest_activity,0.5553008646345793,Highest Risk
12,retained,51,41,109.8818549,2760,64,0,2512.308716,1717.268618,12,12,iPhone,0.0,4.25,3.4166666666666665,61.27582234146342,41.88460043902439,64,0.0043478260869565,0.0043478260869565,longest_tenure,low_mid_activity,0.2342384320309128,Lower-Mid Risk
13,retained,80,64,132.8305064,3154,39,16,8531.24807,6324.273457,1,0,Android,0.0,80.0,,133.30075109375,98.816772765625,55,0.0003170577045022,0.0,longest_tenure,lowest_activity,0.4478368887916606,Upper-Mid Risk
14,churned,72,66,401.3518086,2524,54,24,5922.811202,2227.280393,0,0,Android,1.0,,,89.73956366666667,33.74667262121212,78,0.0,0.0,late_mid_tenure,lowest_activity,0.7451772033436641,Highest Risk
15,retained,23,22,95.2921595,50,193,0,2188.829771,1775.713499,11,10,iPhone,0.0,2.090909090909091,2.2,99.49226231818184,80.71424995454545,193,0.22,0.2,newest_users,low_mid_activity,0.5483662520257231,Highest Risk
16,retained,30,25,41.53837224,1554,61,19,1213.549279,949.1301246,17,13,Android,0.0,1.7647058823529411,1.9230769230769231,48.54197116,37.965204984,80,0.0109395109395109,0.0083655083655083,early_mid_tenure,high_mid_activity,0.20515283533648238,Lower-Mid Risk
17,churned,272,219,564.2714848,88,0,90,3529.33898,2078.426838,11,11,Android,1.0,24.727272727272727,19.90909090909091,16.11570310502283,9.490533506849314,90,0.125,0.125,newest_users,low_mid_activity,0.47525357142008695,Upper-Mid Risk
18,retained,48,38,259.0657534,2077,131,11,9140.608725,4922.692428,10,3,Android,0.0,4.8,12.666666666666666,240.54233486842105,129.54453757894737,142,0.0048146364949446,0.0014443909484833,late_mid_tenure,low_mid_activity,0.2798974603753765,Lower-Mid Risk
19,retained,106,98,170.9254705,87,0,6,8566.541401,2534.595126,22,20,iPhone,0.0,4.818181818181818,4.9,87.41368776530612,25.86321557142857,6,0.2528735632183908,0.2298850574712643,newest_users,high_mid_activity,0.3647714608089265,Upper-Mid Risk
20,retained,52,42,144.7141026,2937,306,0,1601.896284,951.8891394,7,7,iPhone,0.0,7.428571428571429,6.0,38.14038771428572,22.664027128571423,306,0.0023833844058563,0.0023833844058563,longest_tenure,lowest_activity,0.2757029076301891,Lower-Mid Risk
21,retained,148,119,168.8281397,501,77,28,2170.296817,551.9648276,21,21,iPhone,0.0,7.047619047619048,5.666666666666667,18.23778837815126,4.638359895798319,105,0.0419161676646706,0.0419161676646706,newest_users,high_mid_activity,0.29744704389499843,Upper-Mid Risk
22,churned,73,60,118.8088122,1607,254,92,2653.436921,400.7073101,16,16,iPhone,1.0,4.5625,3.75,44.22394868333333,6.678455168333333,346,0.0099564405724953,0.0099564405724953,early_mid_tenure,low_mid_activity,0.4809781945814989,Upper-Mid Risk
23,churned,29,23,33.13702884,2188,338,0,4283.503913,654.5190065,2,2,iPhone,1.0,14.5,11.5,186.23930056521735,28.45734810869565,338,0.0009140767824497,0.0009140767824497,late_mid_tenure,lowest_activity,0.6584360379742104,Highest Risk
24,retained,3,3,50.32821361,1084,63,23,2274.207173,1650.575799,16,10,Android,0.0,0.1875,0.3,758.0690576666666,550.191933,86,0.014760147601476,0.0092250922509225,early_mid_tenure,low_mid_activity,0.3712035648449506,Upper-Mid Risk
25,retained,0,0,139.194969,2731,13,4,5702.339466,4582.737478,6,2,Android,0.0,0.0,0.0,,,17,0.0021969974368363,0.0007323324789454,longest_tenure,lowest_activity,0.3259099534963199,Upper-Mid Risk
26,retained,132,106,160.2585518,112,199,28,4828.974928,3178.144689,13,9,Android,0.0,10.153846153846152,11.77777777777778,45.55636724528301,29.982497066037737,227,0.1160714285714285,0.0803571428571428,newest_users,low_mid_activity,0.6104798973515567,Highest Risk
27,churned,5,5,215.8764605,2465,412,0,925.0304742,490.5346749,16,8,iPhone,1.0,0.3125,0.625,185.00609484,98.10693498,412,0.0064908722109533,0.0032454361054766,late_mid_tenure,low_mid_activity,0.5642446185355418,Highest Risk
28,retained,64,54,80.76829058,1635,81,0,2723.495224,1546.790177,2,2,iPhone,0.0,32.0,27.0,50.43509674074074,28.64426253703704,81,0.001223241590214,0.001223241590214,early_mid_tenure,lowest_activity,0.6619500838723533,Highest Risk
29,retained,57,46,60.0376594,1732,429,95,1443.441103,589.9503158,27,21,Android,0.0,2.111111111111111,2.1904761904761907,31.37915441304348,12.825006865217391,524,0.0155889145496535,0.0121247113163972,early_mid_tenure,highest_activity,0.19850777607357117,Lower-Mid Risk
30,retained,78,66,484.5716429,2381,106,21,10573.01978,6978.070441,31,26,iPhone,0.0,2.5161290322580645,2.5384615384615383,160.1972693939394,105.72834001515152,127,0.0130197396052078,0.0109197816043679,late_mid_tenure,highest_activity,0.1007484461297172,Lowest Risk
31,retained,46,37,98.15654833,2938,372,26,4042.105947,1404.569949,22,17,iPhone,0.0,2.090909090909091,2.176470588235294,109.24610667567568,37.96134997297297,398,0.0074880871341048,0.005786249149081,longest_tenure,high_mid_activity,0.1473227087736183,Lower-Mid Risk
32,retained,38,34,62.74575283,1940,313,12,4668.226427,1066.10387,24,20,iPhone,0.0,1.5833333333333333,1.7,137.30077726470586,31.355996176470587,325,0.0123711340206185,0.0103092783505154,late_mid_tenure,highest_activity,0.23417550320261937,Lower-Mid Risk
33,retained,291,233,568.7227649,275,39,9,2578.7202,1703.292389,15,15,iPhone,0.0,19.4,15.533333333333331,11.067468669527898,7.310267763948498,48,0.0545454545454545,0.0545454545454545,newest_users,low_mid_activity,0.302148052034798,Upper-Mid Risk
